"group","identifier","user_decision","before_arc","before_out_port","after_arc","after_out_port","expected_out_port","status"
"7_catchment_disagreement","0fcc695cd0","the receiving node shouldn't be 7517, it should be catchment 760 itself or the catchment in the down stream which is catchment 930","0fcc695cd0-wwtw-to-node_7516","node_7516","0fcc695cd0-wwtw-to-node_7516","node_7516","node_7516","already_matched_user_decision"
"7_catchment_disagreement","1fa7ad67f6","hawstead STW which shouldn't discharge to this catchment, it should discharge in its own catchment as it's right close to the river in the catchment GB105033042930","1fa7ad67f6-wwtw-to-external-river","external-river","1fa7ad67f6-wwtw-to-external-river","external-river","external-river","already_matched_user_decision"
"7_catchment_disagreement","3b8e21f304","dedham STW which can discharge to the river node in catchment 41000, but if it's been processed from the upstream then the timeseries might not correct as the pollutant can go through transformation during transportation result in the incorrect load or concentration, so I don't know what to do to this part, and after discussed with robin, I decide to make the processing to the ajascent catchment which is going to externel","3b8e21f304-wwtw-to-external-river","external-river","3b8e21f304-wwtw-to-external-river","external-river","external-river","already_matched_user_decision"
"7_catchment_disagreement","4b07ce58a9","should discharge to river stour,which is the river node in the catchment itself","4b07ce58a9-wwtw-to-node_8943","node_8943","4b07ce58a9-wwtw-to-node_8943","node_8943","node_8943","already_matched_user_decision"
"7_catchment_disagreement","4f57ce3a12","should discharge to river stour,which is the river node in the catchment itself(Long melford STW)","4f57ce3a12-wwtw-to-node_8952","node_8952","4f57ce3a12-wwtw-to-node_8952","node_8952","node_8952","already_matched_user_decision"
"7_catchment_disagreement","a3d522236c","should discharge to river stour,which is the river node in the catchment itself(clare STW)","a3d522236c-wwtw-to-node_8952","node_8952","a3d522236c-wwtw-to-node_8952","node_8952","node_8952","already_matched_user_decision"
"7_catchment_disagreement","baf8a7dc1e","which shouldn't discharge to this catchment, it should discharge in its own catchment as it's right close to the river in the catchment","baf8a7dc1e-wwtw-to-external-river","external-river","baf8a7dc1e-wwtw-to-external-river","external-river","external-river","already_matched_user_decision"
"12_external_double_check","326673b7f4","external river node not internel","326673b7f4-wwtw-to-external-river","external-river","326673b7f4-wwtw-to-external-river","external-river","external-river","already_matched_user_decision"
"12_external_double_check","5ab7e1e21f","external river node not internel","5ab7e1e21f-wwtw-to-external-river","external-river","5ab7e1e21f-wwtw-to-external-river","external-river","external-river","already_matched_user_decision"
"12_external_double_check","9ba0de3ceb","external river node not internel","9ba0de3ceb-wwtw-to-external-river","external-river","9ba0de3ceb-wwtw-to-external-river","external-river","external-river","already_matched_user_decision"
"12_external_double_check","b944d274fc","external river node not internel","b944d274fc-wwtw-to-external-river","external-river","b944d274fc-wwtw-to-external-river","external-river","external-river","already_matched_user_decision"
"12_external_double_check","dc54441746","external river node not internel","dc54441746-wwtw-to-external-river","external-river","dc54441746-wwtw-to-external-river","external-river","external-river","already_matched_user_decision"
"12_external_double_check","8b39f6a599","Langhan STW discharges into river Black brook which is the river within the catchment: so the processing should be change to internel processing","8b39f6a599-wwtw-to-node_8950","node_8950","8b39f6a599-wwtw-to-node_8950","node_8950","node_8950","already_matched_user_decision"
"12_external_double_check","d3d6d9b60f","external river node not internel","d3d6d9b60f-wwtw-to-node_7517","node_7517","d3d6d9b60f-wwtw-to-external-river","external-river","external-river","changed_to_match_user_decision"
"12_external_double_check","18fa0446cd","external river node not internel","18fa0446cd-wwtw-to-external-river","external-river","18fa0446cd-wwtw-to-external-river","external-river","external-river","already_matched_user_decision"
"12_external_double_check","33d3109b7b","external river node not internel","33d3109b7b-wwtw-to-external-river","external-river","33d3109b7b-wwtw-to-external-river","external-river","external-river","already_matched_user_decision"
"12_external_double_check","3f0d58d1c4","external river node not internel","3f0d58d1c4-wwtw-to-external-river","external-river","3f0d58d1c4-wwtw-to-external-river","external-river","external-river","already_matched_user_decision"
"12_external_double_check","78e2d4a66c","external river node not internel","78e2d4a66c-wwtw-to-external-river","external-river","78e2d4a66c-wwtw-to-external-river","external-river","external-river","already_matched_user_decision"
"12_external_double_check","7cc93d9417","external river node not internel","7cc93d9417-wwtw-to-external-river","external-river","7cc93d9417-wwtw-to-external-river","external-river","external-river","already_matched_user_decision"
